;Unnamed: 0;Unnamed: 0.1;codigo_ibge;codigo;municipio;uf;codigo_uf;capital;latitude;longitude;UTI adulto I;UTI adulto II;UTI adulto III;UTI coronariana tipo II -UCO tipo II;UTI coronariana tipo III - UCO tipo III;UTI de Queimados;UTI pediátrica I;UTI pediátrica II;UTI pediátrica III;Unidade isolamento;Total
517;517;517;3112703.0;311270;Capitão Enéas;MG;31;0.0;-16.3265;-43.7084;0;0;0;0;0;0;0;0;0;1;1
516;516;516;3111507.0;311150;Campos Altos;MG;31;0.0;-19.6914;-46.1725;0;0;0;0;0;0;0;0;0;1;1
583;583;583;3144003.0;314400;Mutum;MG;31;0.0;-19.8121;-41.4407;0;0;0;0;0;0;0;0;0;1;1
1266;1266;1266;5106299.0;510629;Paranaíta;MT;51;0.0;-9.65835;-56.4786;0;0;0;0;0;0;0;0;0;1;1
1265;1265;1265;5106273.0;510627;Novo Horizonte do Norte;MT;51;0.0;-11.4089;-57.3488;0;0;0;0;0;0;0;0;0;1;1
1263;1263;1263;5106224.0;510622;Nova Mutum;MT;51;0.0;-13.8374;-56.0743;0;0;0;0;0;0;0;0;0;1;1
1304;1304;1304;5208509.0;520850;Goiandira;GO;52;0.0;-18.1352;-48.0875;0;0;0;0;0;0;0;0;0;1;1
24;24;24;1300839.0;130083;Caapiranga;AM;13;0.0;-3.3153699999999997;-61.2206;0;0;0;0;0;0;0;0;0;1;1
1307;1307;1307;5208806.0;520880;Goianira;GO;52;0.0;-16.4947;-49.427;0;0;0;0;0;0;0;0;0;1;1
1328;1328;1328;5216403.0;521640;Paraúna;GO;52;0.0;-16.9463;-50.4484;0;0;0;0;0;0;0;0;0;1;1
2;2;2;1100452.0;110045;Buritis;RO;11;0.0;-10.1943;-63.8324;0;0;0;0;0;0;0;0;0;1;1
5;5;5;1100098.0;110009;Espigão D'Oeste;RO;11;0.0;-11.5266;-61.0252;0;0;0;0;0;0;0;0;0;1;1
1343;1343;1343;5220405.0;522040;São Simão;GO;52;0.0;-18.996;-50.547;0;0;0;0;0;0;0;0;0;1;1
1342;1342;1342;5220207.0;522020;São Miguel do Araguaia;GO;52;0.0;-13.2731;-50.1634;0;0;0;0;0;0;0;0;0;1;1
1340;1340;1340;5219753.0;521975;Santo Antônio do Descoberto;GO;52;0.0;-15.9412;-48.2578;0;0;0;0;0;0;0;0;0;1;1
539;539;539;3125606.0;312560;Felisburgo;MG;31;0.0;-16.6348;-40.7605;0;0;0;0;0;0;0;0;0;1;1
10;10;10;1101492.0;110149;São Francisco do Guaporé;RO;11;0.0;-12.052;-63.56800000000001;0;0;0;0;0;0;0;0;0;1;1
1337;1337;1337;5218607.0;521860;Rialma;GO;52;0.0;-15.3145;-49.5814;0;0;0;0;0;0;0;0;0;1;1
1334;1334;1334;5217708.0;521770;Pontalina;GO;52;0.0;-17.5225;-49.4489;0;0;0;0;0;0;0;0;0;1;1
1333;1333;1333;5217609.0;521760;Planaltina;GO;52;0.0;-15.452;-47.6089;0;0;0;0;0;0;0;0;0;1;1
537;537;537;3124104.0;312410;Esmeraldas;MG;31;0.0;-19.764;-44.3065;0;0;0;0;0;0;0;0;0;1;1
1331;1331;1331;5217302.0;521730;Pirenópolis;GO;52;0.0;-15.8507;-48.9584;0;0;0;0;0;0;0;0;0;1;1
536;536;536;3123908.0;312390;Entre Rios de Minas;MG;31;0.0;-20.6706;-44.0654;0;0;0;0;0;0;0;0;0;1;1
535;535;535;3122702.0;312270;Dom Silvério;MG;31;0.0;-20.1627;-42.9627;0;0;0;0;0;0;0;0;0;1;1
22;22;22;1300631.0;130063;Beruri;AM;13;0.0;-3.89874;-61.3616;0;0;0;0;0;0;0;0;0;1;1
559;559;559;3135407.0;313540;Jeceaba;MG;31;0.0;-20.5339;-43.9894;0;0;0;0;0;0;0;0;0;1;1
16;16;16;1200450.0;120045;Senador Guiomard;AC;12;0.0;-10.1497;-67.7362;0;0;0;0;0;0;0;0;0;1;1
1324;1324;1324;5214002.0;521400;Mozarlândia;GO;52;0.0;-14.7457;-50.5713;0;0;0;0;0;0;0;0;0;1;1
17;17;17;1300060.0;130006;Amaturá;AM;13;0.0;-3.37455;-68.2005;0;0;0;0;0;0;0;0;0;1;1
1321;1321;1321;5213087.0;521308;Minaçu;GO;52;0.0;-13.5304;-48.2206;0;0;0;0;0;0;0;0;0;1;1
534;534;534;3122603.0;312260;Dom Joaquim;MG;31;0.0;-18.961;-43.2544;0;0;0;0;0;0;0;0;0;1;1
19;19;19;1300201.0;130020;Atalaia do Norte;AM;13;0.0;-4.37055;-70.1967;0;0;0;0;0;0;0;0;0;1;1
564;564;564;3137106.0;313710;Lagamar;MG;31;0.0;-18.1759;-46.8063;0;0;0;0;0;0;0;0;0;1;1
530;530;530;3121209.0;312120;Delfinópolis;MG;31;0.0;-20.3468;-46.8456;0;0;0;0;0;0;0;0;0;1;1
566;566;566;3137700.0;313770;Lajinha;MG;31;0.0;-20.1539;-41.6228;0;0;0;0;0;0;0;0;0;1;1
567;567;567;3137908.0;313790;Lamim;MG;31;0.0;-20.79;-43.4706;0;0;0;0;0;0;0;0;0;1;1
1311;1311;1311;5209952.0;520995;Indiara;GO;52;0.0;-17.1387;-49.9862;0;0;0;0;0;0;0;0;0;1;1
568;568;568;3138005.0;313800;Laranjal;MG;31;0.0;-21.3715;-42.4732;0;0;0;0;0;0;0;0;0;1;1
586;586;586;3145000.0;314500;Nova Ponte;MG;31;0.0;-19.1461;-47.6779;0;0;0;0;0;0;0;0;0;1;1
1261;1261;1261;5105606.0;510560;Matupá;MT;51;0.0;-10.1821;-54.9467;0;0;0;0;0;0;0;0;0;1;1
1260;1260;1260;5105580.0;510558;Marcelândia;MT;51;0.0;-11.0463;-54.4377;0;0;0;0;0;0;0;0;0;1;1
55;55;55;1400605.0;140060;São Luiz;RR;14;0.0;1.01019;-60.0419;0;0;0;0;0;0;0;0;0;1;1
49;49;49;1400159.0;140015;Bonfim;RR;14;0.0;3.3616099999999998;-59.8333;0;0;0;0;0;0;0;0;0;1;1
1216;1216;1216;5002803.0;500280;Caracol;MS;50;0.0;-22.011;-57.0277;0;0;0;0;0;0;0;0;0;1;1
50;50;50;1400308.0;140030;Mucajaí;RR;14;0.0;2.43998;-60.9096;0;0;0;0;0;0;0;0;0;1;1
1214;1214;1214;5002605.0;500260;Camapuã;MS;50;0.0;-19.5347;-54.0431;0;0;0;0;0;0;0;0;0;1;1
1213;1213;1213;5002100.0;500210;Bela Vista;MS;50;0.0;-22.1073;-56.5263;0;0;0;0;0;0;0;0;0;1;1
1212;1212;1212;5001243.0;500124;Aral Moreira;MS;50;0.0;-22.9385;-55.6334;0;0;0;0;0;0;0;0;0;1;1
51;51;51;1400407.0;140040;Normandia;RR;14;0.0;3.8853;-59.6204;0;0;0;0;0;0;0;0;0;1;1
52;52;52;1400456.0;140045;Pacaraima;RR;14;0.0;4.4799;-61.1477;0;0;0;0;0;0;0;0;0;1;1
602;602;602;3152006.0;315200;Pompéu;MG;31;0.0;-19.2257;-45.0141;0;0;0;0;0;0;0;0;0;1;1
1207;1207;1207;4322707.0;432270;Vera Cruz;RS;43;0.0;-29.7184;-52.5152;0;0;0;0;0;0;0;0;0;1;1
53;53;53;1400472.0;140047;Rorainópolis;RR;14;0.0;0.9399559999999999;-60.4389;0;0;0;0;0;0;0;0;0;1;1
1205;1205;1205;4322533.0;432253;Vale do Sol;RS;43;0.0;-29.5967;-52.6839;0;0;0;0;0;0;0;0;0;1;1
54;54;54;1400506.0;140050;São João da Baliza;RR;14;0.0;0.951659;-59.9133;0;0;0;0;0;0;0;0;0;1;1
1202;1202;1202;4322301.0;432230;Tuparendi;RS;43;0.0;-27.7598;-54.4814;0;0;0;0;0;0;0;0;0;1;1
1220;1220;1220;5003488.0;500348;Dois Irmãos do Buriti;MS;50;0.0;-20.6848;-55.2915;0;0;0;0;0;0;0;0;0;1;1
1201;1201;1201;4321956.0;432195;Trindade do Sul;RS;43;0.0;-27.5239;-52.8956;0;0;0;0;0;0;0;0;0;1;1
57;57;57;1500131.0;150013;Abel Figueiredo;PA;15;0.0;-4.95333;-48.3933;0;0;0;0;0;0;0;0;0;1;1
605;605;605;3152808.0;315280;Prata;MG;31;0.0;-19.3086;-48.9276;0;0;0;0;0;0;0;0;0;1;1
60;60;60;1500701.0;150070;Anajás;PA;15;0.0;-0.9968110000000001;-49.9354;0;0;0;0;0;0;0;0;0;1;1
62;62;62;1500859.0;150085;Anapu;PA;15;0.0;-3.46985;-51.2003;0;0;0;0;0;0;0;0;0;1;1
1195;1195;1195;4321303.0;432130;Taquari;RS;43;0.0;-29.7943;-51.8653;0;0;0;0;0;0;0;0;0;1;1
63;63;63;1501105.0;150110;Bagre;PA;15;0.0;-1.90057;-50.1987;0;0;0;0;0;0;0;0;0;1;1
1193;1193;1193;4321105.0;432110;Tapes;RS;43;0.0;-30.6683;-51.3991;0;0;0;0;0;0;0;0;0;1;1
606;606;606;3154200.0;315420;Resende Costa;MG;31;0.0;-20.9171;-44.2407;0;0;0;0;0;0;0;0;0;1;1
608;608;608;3155504.0;315550;Rio Paranaíba;MG;31;0.0;-19.1861;-46.2455;0;0;0;0;0;0;0;0;0;1;1
1189;1189;1189;4320503.0;432050;Sertão;RS;43;0.0;-27.9798;-52.2588;0;0;0;0;0;0;0;0;0;1;1
1188;1188;1188;4320206.0;432020;Seberi;RS;43;0.0;-27.4829;-53.4026;0;0;0;0;0;0;0;0;0;1;1
1187;1187;1187;4320107.0;432010;Sarandi;RS;43;0.0;-27.941999999999997;-52.9231;0;0;0;0;0;0;0;0;0;1;1
1219;1219;1219;5003256.0;500325;Costa Rica;MS;50;0.0;-18.5432;-53.1287;0;0;0;0;0;0;0;0;0;1;1
47;47;47;1400050.0;140005;Alto Alegre;RR;14;0.0;2.98858;-61.3072;0;0;0;0;0;0;0;0;0;1;1
37;37;37;1303502.0;130350;Pauini;AM;13;0.0;-7.71311;-66.992;0;0;0;0;0;0;0;0;0;1;1
504;504;504;3105905.0;310590;Barroso;MG;31;0.0;-21.1907;-43.972;0;0;0;0;0;0;0;0;0;1;1
1258;1258;1258;5105176.0;510517;Juruena;MT;51;0.0;-10.3178;-58.3592;0;0;0;0;0;0;0;0;0;1;1
512;512;512;3109907.0;310990;Caetanópolis;MG;31;0.0;-19.2971;-44.4189;0;0;0;0;0;0;0;0;0;1;1
1255;1255;1255;5105002.0;510500;Jauru;MT;51;0.0;-15.3342;-58.8723;0;0;0;0;0;0;0;0;0;1;1
1254;1254;1254;5104609.0;510460;Itiquira;MT;51;0.0;-17.2147;-54.1422;0;0;0;0;0;0;0;0;0;1;1
1253;1253;1253;5104203.0;510420;Guiratinga;MT;51;0.0;-16.346;-53.7575;0;0;0;0;0;0;0;0;0;1;1
511;511;511;3109006.0;310900;Brumadinho;MG;31;0.0;-20.151;-44.2007;0;0;0;0;0;0;0;0;0;1;1
509;509;509;3108404.0;310840;Botelhos;MG;31;0.0;-21.6412;-46.39100000000001;0;0;0;0;0;0;0;0;0;1;1
1249;1249;1249;5103379.0;510337;Cotriguaçu;MT;51;0.0;-9.85656;-58.4192;0;0;0;0;0;0;0;0;0;1;1
508;508;508;3107505.0;310750;Bom Jardim de Minas;MG;31;0.0;-21.9479;-44.1885;0;0;0;0;0;0;0;0;0;1;1
40;40;40;1303700.0;130370;Santo Antônio do Içá;AM;13;0.0;-3.09544;-67.9463;0;0;0;0;0;0;0;0;0;1;1
1246;1246;1246;5102686.0;510268;Campos de Júlio;MT;51;0.0;-13.7242;-59.2858;0;0;0;0;0;0;0;0;0;1;1
1245;1245;1245;5102678.0;510267;Campo Verde;MT;51;0.0;-15.545;-55.1626;0;0;0;0;0;0;0;0;0;1;1
42;42;42;1304005.0;130400;Silves;AM;13;0.0;-2.8174799999999998;-58.24800000000001;0;0;0;0;0;0;0;0;0;1;1
1241;1241;1241;5101605.0;510160;Barão de Melgaço;MT;51;0.0;-16.2067;-55.9623;0;0;0;0;0;0;0;0;0;1;1
1222;1222;1222;5003751.0;500375;Eldorado;MS;50;0.0;-23.7868;-54.2838;0;0;0;0;0;0;0;0;0;1;1
1240;1240;1240;5100607.0;510060;Alto Taquari;MT;51;0.0;-17.8241;-53.2792;0;0;0;0;0;0;0;0;0;1;1
502;502;502;3105400.0;310540;Barão de Cocais;MG;31;0.0;-19.9389;-43.4755;0;0;0;0;0;0;0;0;0;1;1
595;595;595;3148707.0;314870;Pedra Azul;MG;31;0.0;-16.0086;-41.2909;0;0;0;0;0;0;0;0;0;1;1
1235;1235;1235;5007307.0;500730;Rio Negro;MS;50;0.0;-19.447;-54.9859;0;0;0;0;0;0;0;0;0;1;1
1234;1234;1234;5006903.0;500690;Porto Murtinho;MS;50;0.0;-21.6981;-57.8836;0;0;0;0;0;0;0;0;0;1;1
45;45;45;1304260.0;130426;Uarini;AM;13;0.0;-2.99609;-65.1133;0;0;0;0;0;0;0;0;0;1;1
46;46;46;1304302.0;130430;Urucará;AM;13;0.0;-2.52936;-57.7538;0;0;0;0;0;0;0;0;0;1;1
1229;1229;1229;5005608.0;500560;Miranda;MS;50;0.0;-20.2355;-56.3746;0;0;0;0;0;0;0;0;0;1;1
1227;1227;1227;5005251.0;500525;Laguna Carapã;MS;50;0.0;-22.5448;-55.1502;0;0;0;0;0;0;0;0;0;1;1
1226;1226;1226;5004700.0;500470;Ivinhema;MS;50;0.0;-22.3046;-53.8184;0;0;0;0;0;0;0;0;0;1;1
1225;1225;1225;5004601.0;500460;Itaquiraí;MS;50;0.0;-23.4779;-54.187;0;0;0;0;0;0;0;0;0;1;1
1224;1224;1224;5004502.0;500450;Itaporã;MS;50;0.0;-22.08;-54.7934;0;0;0;0;0;0;0;0;0;1;1
1223;1223;1223;5003801.0;500380;Fátima do Sul;MS;50;0.0;-22.3789;-54.5131;0;0;0;0;0;0;0;0;0;1;1
647;647;647;3201704.0;320170;Conceição do Castelo;ES;32;0.0;-20.3639;-41.2417;0;0;0;0;0;0;0;0;0;1;1
545;545;545;3129400.0;312940;Ibertioga;MG;31;0.0;-21.433000000000003;-43.9639;0;0;0;0;0;0;0;0;0;1;1
194;194;194;2109270.0;210927;Presidente Sarney;MA;21;0.0;-2.58799;-45.3595;0;0;0;0;0;0;0;0;0;1;1
203;203;203;2110609.0;211060;São Bernardo;MA;21;0.0;-3.3722300000000005;-42.4191;0;0;0;0;0;0;0;0;0;1;1
904;904;904;4103057.0;410305;Boa Vista da Aparecida;PR;41;0.0;-25.4308;-53.4117;0;0;0;0;0;0;0;0;0;1;1
903;903;903;4102505.0;410250;Barbosa Ferraz;PR;41;0.0;-24.0334;-52.004;0;0;0;0;0;0;0;0;0;1;1
420;420;420;2914653.0;291465;Itabela;BA;29;0.0;-16.5732;-39.5593;0;0;0;0;0;0;0;0;0;1;1
901;901;901;4102109.0;410210;Astorga;PR;41;0.0;-23.2318;-51.6668;0;0;0;0;0;0;0;0;0;1;1
706;706;706;3304128.0;330412;Quatis;RJ;33;0.0;-22.4045;-44.2597;0;0;0;0;0;0;0;0;0;1;1
898;898;898;4101705.0;410170;Araruna;PR;41;0.0;-23.9315;-52.5021;0;0;0;0;0;0;0;0;0;1;1
897;897;897;4101606.0;410160;Arapoti;PR;41;0.0;-24.1548;-49.8285;0;0;0;0;0;0;0;0;0;1;1
201;201;201;2110237.0;211023;Santana do Maranhão;MA;21;0.0;-3.109;-42.4064;0;0;0;0;0;0;0;0;0;1;1
894;894;894;4101200.0;410120;Antonina;PR;41;0.0;-25.4386;-48.7191;0;0;0;0;0;0;0;0;0;1;1
893;893;893;4101002.0;410100;Ampére;PR;41;0.0;-25.9168;-53.4686;0;0;0;0;0;0;0;0;0;1;1
892;892;892;4100905.0;410090;Amaporã;PR;41;0.0;-23.0943;-52.7866;0;0;0;0;0;0;0;0;0;1;1
202;202;202;2110500.0;211050;São Bento;MA;21;0.0;-2.69781;-44.8289;0;0;0;0;0;0;0;0;0;1;1
204;204;204;2111052.0;211105;São João do Paraíso;MA;21;0.0;-6.45634;-47.0594;0;0;0;0;0;0;0;0;0;1;1
937;937;937;4112405.0;411240;Japurá;PR;41;0.0;-23.4693;-52.5557;0;0;0;0;0;0;0;0;0;1;1
373;373;373;2900108.0;290010;Abaíra;BA;29;0.0;-13.2488;-41.6619;0;0;0;0;0;0;0;0;0;1;1
887;887;887;3555406.0;355540;Ubatuba;SP;35;0.0;-23.4332;-45.0834;0;0;0;0;0;0;0;0;0;1;1
414;414;414;2913408.0;291340;Igaporã;BA;29;0.0;-13.774000000000001;-42.7155;0;0;0;0;0;0;0;0;0;1;1
885;885;885;3554508.0;355450;Tietê;SP;35;0.0;-23.1101;-47.7164;0;0;0;0;0;0;0;0;0;1;1
209;209;209;2112308.0;211230;Tuntum;MA;21;0.0;-5.25476;-44.6444;0;0;0;0;0;0;0;0;0;1;1
210;210;210;2112506.0;211250;Tutóia;MA;21;0.0;-2.7614099999999997;-42.2755;0;0;0;0;0;0;0;0;0;1;1
882;882;882;3553807.0;355380;Taquarituba;SP;35;0.0;-23.5307;-49.24100000000001;0;0;0;0;0;0;0;0;0;1;1
880;880;880;3553005.0;355300;Taguaí;SP;35;0.0;-23.4452;-49.4024;0;0;0;0;0;0;0;0;0;1;1
412;412;412;2912004.0;291200;Ibiassucê;BA;29;0.0;-14.2711;-42.257;0;0;0;0;0;0;0;0;0;1;1
213;213;213;2200301.0;220030;Alto Longá;PI;22;0.0;-5.25634;-42.2096;0;0;0;0;0;0;0;0;0;1;1
214;214;214;2200400.0;220040;Altos;PI;22;0.0;-5.038880000000002;-42.4612;0;0;0;0;0;0;0;0;0;1;1
215;215;215;2201200.0;220120;Barras;PI;22;0.0;-4.244680000000002;-42.2922;0;0;0;0;0;0;0;0;0;1;1
905;905;905;4103305.0;410330;Borrazópolis;PR;41;0.0;-23.9366;-51.5875;0;0;0;0;0;0;0;0;0;1;1
195;195;195;2109403.0;210940;Primeira Cruz;MA;21;0.0;-2.50568;-43.4232;0;0;0;0;0;0;0;0;0;1;1
1054;1054;1054;4211405.0;421140;Nova Erechim;SC;42;0.0;-26.8982;-52.9066;0;0;0;0;0;0;0;0;0;1;1
704;704;704;3304003.0;330400;Piraí;RJ;33;0.0;-22.6215;-43.9081;0;0;0;0;0;0;0;0;0;1;1
935;935;935;4111902.0;411190;Jaguapitã;PR;41;0.0;-23.1104;-51.5342;0;0;0;0;0;0;0;0;0;1;1
372;372;372;2806701.0;280670;São Cristóvão;SE;28;0.0;-11.0084;-37.2044;0;0;0;0;0;0;0;0;0;1;1
815;815;815;3528502.0;352850;Mairiporã;SP;35;0.0;-23.3171;-46.5897;0;0;0;0;0;0;0;0;0;1;1
180;180;180;2106300.0;210630;Magalhães de Almeida;MA;21;0.0;-3.39232;-42.2117;0;0;0;0;0;0;0;0;0;1;1
932;932;932;4111258.0;411125;Itaperuçu;PR;41;0.0;-25.2193;-49.3454;0;0;0;0;0;0;0;0;0;1;1
931;931;931;4111100.0;411110;Itambé;PR;41;0.0;-23.6601;-51.9912;0;0;0;0;0;0;0;0;0;1;1
430;430;430;2917359.0;291735;Jaborandi;BA;29;0.0;-13.6071;-44.4255;0;0;0;0;0;0;0;0;0;1;1
928;928;928;4109757.0;410975;Ibema;PR;41;0.0;-25.1193;-53.0072;0;0;0;0;0;0;0;0;0;1;1
751;751;751;3507902.0;350790;Brotas;SP;35;0.0;-22.2795;-48.1251;0;0;0;0;0;0;0;0;0;1;1
428;428;428;2916708.0;291670;Itaquara;BA;29;0.0;-13.4459;-39.9378;0;0;0;0;0;0;0;0;0;1;1
183;183;183;2107100.0;210710;Morros;MA;21;0.0;-2.85379;-44.0357;0;0;0;0;0;0;0;0;0;1;1
184;184;184;2107308.0;210730;Nova Iorque;MA;21;0.0;-6.7304699999999995;-44.0471;0;0;0;0;0;0;0;0;0;1;1
424;424;424;2915304.0;291530;Itagimirim;BA;29;0.0;-16.0819;-39.6133;0;0;0;0;0;0;0;0;0;1;1
423;423;423;2914901.0;291490;Itacaré;BA;29;0.0;-14.2784;-38.9959;0;0;0;0;0;0;0;0;0;1;1
701;701;701;3303807.0;330380;Paraty;RJ;33;0.0;-23.2221;-44.7175;0;0;0;0;0;0;0;0;0;1;1
186;186;186;2107605.0;210760;Palmeirândia;MA;21;0.0;-2.64433;-44.8933;0;0;0;0;0;0;0;0;0;1;1
917;917;917;4106308.0;410630;Corbélia;PR;41;0.0;-24.7971;-53.3006;0;0;0;0;0;0;0;0;0;1;1
421;421;421;2914703.0;291470;Itaberaba;BA;29;0.0;-12.5242;-40.3059;0;0;0;0;0;0;0;0;0;1;1
915;915;915;4105607.0;410560;Cidade Gaúcha;PR;41;0.0;-23.3772;-52.9436;0;0;0;0;0;0;0;0;0;1;1
187;187;187;2108058.0;210805;Paulino Neves;MA;21;0.0;-2.72094;-42.5258;0;0;0;0;0;0;0;0;0;1;1
703;703;703;3303955.0;330395;Pinheiral;RJ;33;0.0;-22.5172;-44.0022;0;0;0;0;0;0;0;0;0;1;1
189;189;189;2108504.0;210850;Pindaré-Mirim;MA;21;0.0;-3.60985;-45.342;0;0;0;0;0;0;0;0;0;1;1
911;911;911;4104600.0;410460;Capitão Leônidas Marques;PR;41;0.0;-25.4816;-53.6112;0;0;0;0;0;0;0;0;0;1;1
910;910;910;4104501.0;410450;Capanema;PR;41;0.0;-25.6691;-53.8055;0;0;0;0;0;0;0;0;0;1;1
191;191;191;2108801.0;210880;Pirapemas;MA;21;0.0;-3.7204099999999998;-44.2216;0;0;0;0;0;0;0;0;0;1;1
217;217;217;2204303.0;220430;Fronteiras;PI;22;0.0;-7.08173;-40.6146;0;0;0;0;0;0;0;0;0;1;1
222;222;222;2207900.0;220790;Pedro II;PI;22;0.0;-4.42585;-41.4482;0;0;0;0;0;0;0;0;0;1;1
793;793;793;3522802.0;352280;Itaporanga;SP;35;0.0;-23.7043;-49.4819;0;0;0;0;0;0;0;0;0;1;1
382;382;382;2903409.0;290340;Belmonte;BA;29;0.0;-15.8608;-38.8758;0;0;0;0;0;0;0;0;0;1;1
400;400;400;2909109.0;290910;Coribe;BA;29;0.0;-13.8232;-44.4586;0;0;0;0;0;0;0;0;0;1;1
262;262;262;2311355.0;231135;Quixelô;CE;23;0.0;-6.24637;-39.2011;0;0;0;0;0;0;0;0;0;1;1
264;264;264;2311801.0;231180;Russas;CE;23;0.0;-4.92673;-37.9721;0;0;0;0;0;0;0;0;0;1;1
265;265;265;2311900.0;231190;Saboeiro;CE;23;0.0;-6.5346;-39.9017;0;0;0;0;0;0;0;0;0;1;1
399;399;399;2908705.0;290870;Condeúba;BA;29;0.0;-14.9022;-41.9718;0;0;0;0;0;0;0;0;0;1;1
268;268;268;2313104.0;231310;Tabuleiro do Norte;CE;23;0.0;-5.243530000000002;-38.1282;0;0;0;0;0;0;0;0;0;1;1
383;383;383;2903904.0;290390;Bom Jesus da Lapa;BA;29;0.0;-13.2506;-43.4108;0;0;0;0;0;0;0;0;0;1;1
396;396;396;2908101.0;290810;Cocos;BA;29;0.0;-14.1814;-44.5352;0;0;0;0;0;0;0;0;0;1;1
394;394;394;2906907.0;290690;Caravelas;BA;29;0.0;-17.7268;-39.2597;0;0;0;0;0;0;0;0;0;1;1
391;391;391;2905909.0;290590;Campo Alegre de Lourdes;BA;29;0.0;-9.522210000000001;-43.0126;0;0;0;0;0;0;0;0;0;1;1
829;829;829;3534609.0;353460;Osvaldo Cruz;SP;35;0.0;-21.7968;-50.8793;0;0;0;0;0;0;0;0;0;1;1
389;389;389;2905503.0;290550;Caldeirão Grande;BA;29;0.0;-11.0208;-40.2956;0;0;0;0;0;0;0;0;0;1;1
388;388;388;2905206.0;290520;Caetité;BA;29;0.0;-14.0684;-42.4861;0;0;0;0;0;0;0;0;0;1;1
384;384;384;2904506.0;290450;Brotas de Macaúbas;BA;29;0.0;-11.9915;-42.6326;0;0;0;0;0;0;0;0;0;1;1
278;278;278;2405207.0;240520;Janduís;RN;24;0.0;-6.01474;-37.4048;0;0;0;0;0;0;0;0;0;1;1
295;295;295;2505709.0;250570;Dona Inês;PB;25;0.0;-6.615660000000001;-35.6205;0;0;0;0;0;0;0;0;0;1;1
279;279;279;2406106.0;240610;Jucurutu;RN;24;0.0;-6.0306;-37.009;0;0;0;0;0;0;0;0;0;1;1
294;294;294;2504801.0;250480;Coremas;PB;25;0.0;-7.00712;-37.9346;0;0;0;0;0;0;0;0;0;1;1
285;285;285;2411205.0;241120;Santa Cruz;RN;24;0.0;-6.22475;-36.0193;0;0;0;0;0;0;0;0;0;1;1
286;286;286;2411403.0;241140;Santana do Matos;RN;24;0.0;-5.94605;-36.6578;0;0;0;0;0;0;0;0;0;1;1
293;293;293;2504405.0;250440;Conceição;PB;25;0.0;-7.5510600000000005;-38.5014;0;0;0;0;0;0;0;0;0;1;1
386;386;386;2904902.0;290490;Cachoeira;BA;29;0.0;-12.5994;-38.9587;0;0;0;0;0;0;0;0;0;1;1
287;287;287;2412807.0;241280;São Rafael;RN;24;0.0;-5.79791;-36.8778;0;0;0;0;0;0;0;0;0;1;1
288;288;288;2413359.0;241335;Serra do Mel;RN;24;0.0;-5.17725;-37.0242;0;0;0;0;0;0;0;0;0;1;1
289;289;289;2500403.0;250040;Alagoa Nova;PB;25;0.0;-7.05377;-35.7591;0;0;0;0;0;0;0;0;0;1;1
742;742;742;3505302.0;350530;Barra Bonita;SP;35;0.0;-22.4909;-48.5583;0;0;0;0;0;0;0;0;0;1;1
259;259;259;2310605.0;231060;Penaforte;CE;23;0.0;-7.82163;-39.0707;0;0;0;0;0;0;0;0;0;1;1
226;226;226;2210508.0;221050;São Pedro do Piauí;PI;22;0.0;-5.9207800000000015;-42.7192;0;0;0;0;0;0;0;0;0;1;1
258;258;258;2310308.0;231030;Parambu;CE;23;0.0;-6.20768;-40.6905;0;0;0;0;0;0;0;0;0;1;1
318;318;318;2602605.0;260260;Brejo da Madre de Deus;PE;26;0.0;-8.14933;-36.3741;0;0;0;0;0;0;0;0;0;1;1
375;375;375;2901007.0;290100;Amargosa;BA;29;0.0;-13.0215;-39.602;0;0;0;0;0;0;0;0;0;1;1
229;229;229;2211100.0;221110;União;PI;22;0.0;-4.58571;-42.8583;0;0;0;0;0;0;0;0;0;1;1
230;230;230;2300408.0;230040;Aiuaba;CE;23;0.0;-6.571219999999999;-40.1178;0;0;0;0;0;0;0;0;0;1;1
231;231;231;2300705.0;230070;Alto Santo;CE;23;0.0;-5.50894;-38.2743;0;0;0;0;0;0;0;0;0;1;1
406;406;406;2910701.0;291070;Euclides da Cunha;BA;29;0.0;-10.5078;-39.0153;0;0;0;0;0;0;0;0;0;1;1
797;797;797;3523602.0;352360;Itirapina;SP;35;0.0;-22.2562;-47.8166;0;0;0;0;0;0;0;0;0;1;1
717;717;717;3305158.0;330515;São José do Vale do Rio Preto;RJ;33;0.0;-22.1525;-42.9327;0;0;0;0;0;0;0;0;0;1;1
378;378;378;2902906.0;290290;Barra do Choça;BA;29;0.0;-14.8654;-40.5791;0;0;0;0;0;0;0;0;0;1;1
718;718;718;3305208.0;330520;São Pedro da Aldeia;RJ;33;0.0;-22.8429;-42.1026;0;0;0;0;0;0;0;0;0;1;1
719;719;719;3305307.0;330530;São Sebastião do Alto;RJ;33;0.0;-21.9578;-42.1328;0;0;0;0;0;0;0;0;0;1;1
405;405;405;2910404.0;291040;Encruzilhada;BA;29;0.0;-15.5302;-40.9124;0;0;0;0;0;0;0;0;0;1;1
244;244;244;2305308.0;230530;Ibiapina;CE;23;0.0;-3.92403;-40.8911;0;0;0;0;0;0;0;0;0;1;1
310;310;310;2514305.0;251430;São José de Caiana;PB;25;0.0;-7.246360000000001;-38.2989;0;0;0;0;0;0;0;0;0;1;1
